iata,name,city,city_norm,country,continent,type,lat,lon
AAL,Aalborg Airport,Aalborg,aalborg,DK,EU,large_airport,57.094763,9.84993
AAR,Aarhus Airport,Aarhus,aarhus,DK,EU,large_airport,56.303331,10.618286
JEG,Aasiaat Airport,Aasiaat,aasiaat,GL,NA,medium_airport,68.721802,-52.784698
ABD,Abadan Ayatollah Jami International Airport,Abadan,abadan,IR,AS,large_airport,30.367887,48.230075
ABA,Abakan International Airport,Abakan,abakan,RU,AS,large_airport,53.740002,91.385002
YXX,Abbotsford International Airport,Abbotsford,abbotsford,CA,NA,medium_airport,49.025299,-122.361
AEH,Abeche Airport,Abeche,abeche,TD,AF,medium_airport,13.847,20.844299
ABZ,Aberdeen International Airport,Aberdeen,aberdeen,GB,EU,large_airport,57.2019,-2.19778
AHB,Abha International Airport,Abha,abha,SA,AS,large_airport,18.2404,42.656601
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,abidjan,CI,AF,large_airport,5.26139,-3.92629
ABI,Abilene Regional Airport,Abilene,abilene,US,NA,medium_airport,32.4113006592,-99.68190002440001
MYG,Mayaguana Airport,Abraham Bay Settlement,abraham bay settlement,BS,NA,medium_airport,22.379499,-73.013494
AUH,Zayed International Airport,Abu Dhabi,abu dhabi,AE,AS,large_airport,24.440966,54.649237
AEU,Abu Musa Island Airport,Abu Musa,abu musa,IR,AS,medium_airport,25.8757,55.033001
ABS,Abu Simbel Airport,Abu Simbel,abu simbel,EG,AF,large_airport,22.374402,31.609881
ABV,Nnamdi Azikiwe International Airport,Abuja,abuja,NG,AF,large_airport,9.00679,7.26317
ACA,General Juan N. Álvarez International Airport,Acapulco,acapulco,MX,NA,large_airport,16.757126,-99.753113
ACC,Kotoka International Airport,Accra,accra,GH,AF,large_airport,5.605189800262451,-0.16678600013256073
DMM,King Fahd International Airport,Ad Dammam,ad dammam,SA,AS,large_airport,26.4691,49.798209
ADK,Adak Airport,Adak,adak,US,NA,medium_airport,51.883564,-176.642783
ADD,Addis Ababa Bole International Airport,Addis Ababa,addis ababa,ET,AF,large_airport,8.97789,38.799301
ADL,Adelaide International Airport,Adelaide,adelaide,AU,OC,large_airport,-34.947512,138.533393
ADE,Aden International Airport,Aden,aden,YE,AS,large_airport,12.829564,45.029976
ADF,Adıyaman Airport,Adıyaman,adıyaman,TR,AS,medium_airport,37.7314,38.468899
AZR,Touat-Cheikh Sidi Mohamed Belkebir Airport,Adrar,adrar,DZ,AF,medium_airport,27.837601,-0.186414
AGA,Al Massira Airport,Agadir (Temsia),agadir (temsia),MA,AF,large_airport,30.322478,-9.412003
IXA,Agartala - Maharaja Bir Bikram Airport,Agartala,agartala,IN,AS,medium_airport,23.886999,91.240402
AGX,Agatti Airport,Agatti,agatti,IN,AS,medium_airport,10.8237,72.176003
LUG,Lugano Airport,Agno,agno,CH,EU,medium_airport,46.004299,8.91058
AJI,Ağrı Airport,Ağrı,agrı,TR,AS,medium_airport,39.655642,43.025742
BQN,Rafael Hernández International Airport,Aguadilla,aguadilla,PR,NA,medium_airport,18.4949,-67.129402
AGU,Aguascalientes International Airport,Aguascalientes,aguascalientes,MX,NA,large_airport,21.699589,-102.318372
AHE,Ahe Airport,Ahe Atoll,ahe atoll,PF,OC,medium_airport,-14.428099632263184,-146.2570037841797
OUD,Oujda Angads Airport,Ahl Angad,ahl angad,MA,AF,large_airport,34.789558,-1.926041
AMD,Sardar Vallabh Patel International Airport,Ahmedabad,ahmedabad,IN,AS,large_airport,23.0772,72.634697
AWZ,Qasem Soleimani International Airport,Ahvaz,ahvaz,IR,AS,large_airport,31.3364,48.763789
AJL,Lengpui Airport,Aizawl (Lengpui),aizawl (lengpui),IN,AS,medium_airport,23.840599,92.619698
AJA,Ajaccio Napoléon Bonaparte airport,Ajaccio,ajaccio,FR,EU,medium_airport,41.923599,8.80292
KQH,Kishangarh Airport Ajmer,Ajmer (Kishangarh),ajmer (kishangarh),IN,AS,medium_airport,26.591007,74.812956
AXT,Akita Airport,Akita,akita,JP,AS,medium_airport,39.615601,140.218994
CAK,Akron Canton Regional Airport,Akron,akron,US,NA,medium_airport,40.916099548339844,-81.44219970703125
AKU,Aksu Hongqipo Airport,Aksu (Onsu),aksu (onsu),CN,AS,medium_airport,41.262501,80.291702
SCO,Aktau International Airport,Aktau,aktau,KZ,AS,large_airport,43.860093,51.09086
AKX,Aktobe International Airport,Aktobe,aktobe,KZ,AS,large_airport,50.248116,57.204144
AKR,Akure Airport,Akure,akure,NG,AF,medium_airport,7.246739864349365,5.3010101318359375
AEY,Akureyri International Airport,Akureyri,akureyri,IS,EU,large_airport,65.656573,-18.072018
NDR,Nador Al Aaroui International Airport,Al Aaroui,al aaroui,MA,AF,large_airport,34.9888,-3.02821
AAN,Al Ain International Airport,Al Ain,al ain,AE,AS,large_airport,24.2617,55.6092
LAQ,Al Abraq International Airport,Al Albraq,al albraq,LY,AF,large_airport,32.789036,21.954864
AAY,Al Ghaydah International Airport,Al Ghaydah,al ghaydah,YE,AS,medium_airport,16.193341,52.174186
SPX,Sphinx International Airport,Al Jiza,al jiza,EG,AF,large_airport,30.108179,30.895728
EJH,Al Wajh Domestic Airport,Al Wajh,al wajh,SA,AS,medium_airport,26.198601,36.476398
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,al-baha,SA,AS,medium_airport,20.298506,41.636153
AJF,Al-Jawf International Airport,Al-Jawf,al-jawf,SA,AS,large_airport,29.783301,40.100905
ULH,Al-Ula International Airport,Al-Ula,al-ula,SA,AS,medium_airport,26.483634,38.117048
ALS,San Luis Valley Regional Airport/Bergman Field,Alamosa,alamosa,US,NA,medium_airport,37.434898,-105.866997
VIT,Vitoria Airport,Alava,alava,ES,EU,medium_airport,42.882801,-2.72447
ALB,Albany International Airport,Albany,albany,US,NA,large_airport,42.748299,-73.801697
PAC,Marcos A. Gelabert International Airport,Albrook,albrook,PA,NA,medium_airport,8.97334,-79.555603
ABQ,Albuquerque International Sunport,Albuquerque,albuquerque,US,NA,large_airport,35.039976,-106.608925
WKK,Aleknagik / New Airport,Aleknagik,aleknagik,US,NA,medium_airport,59.2826004028,-158.617996216
ALP,Aleppo International Airport,Aleppo,aleppo,SY,AS,large_airport,36.181262,37.226869
AES,Ålesund Airport,Ålesund,alesund,NO,EU,large_airport,62.560443,6.110845
AEX,Alexandria International Airport,Alexandria,alexandria,US,NA,medium_airport,31.325828,-92.546702
AXD,Alexandroupoli Democritus Airport,Alexandroupolis,alexandroupolis,GR,EU,medium_airport,40.8559,25.956301
AHO,Alghero-Fertilia Airport,Alghero,alghero,IT,EU,medium_airport,40.632099,8.29077
ALG,Houari Boumediene Airport,Algiers,algiers,DZ,AF,large_airport,36.693886,3.214531
ALC,Alicante-Elche Miguel Hernández Airport,Alicante,alicante,ES,EU,large_airport,38.2822,-0.558156
ASP,Alice Springs Airport,Alice Springs,alice springs,AU,OC,medium_airport,-23.806588,133.903427
IXD,Prayagraj Airport,Allahabad,allahabad,IN,AS,medium_airport,25.4401,81.733902
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,allentown/bethlehem,US,NA,medium_airport,40.651773,-75.442797
AIA,Alliance Municipal Airport,Alliance,alliance,US,NA,medium_airport,42.052543,-102.803965
ALA,Almaty International Airport,Almaty,almaty,KZ,AS,large_airport,43.354267,77.042828
LEI,Almería Airport,Almería,almeria,ES,EU,medium_airport,36.843899,-2.3701
IUE,Niue International Airport,Alofi,alofi,NU,OC,medium_airport,-19.080109,-169.923493
AOR,Sultan Abdul Halim Airport,Alor Satar,alor satar,MY,AS,medium_airport,6.189670085906982,100.39800262451172
APN,Alpena County Regional Airport,Alpena,alpena,US,NA,medium_airport,45.0780983,-83.56030273
SSJ,"Sandnessjøen Airport, Stokka",Alstahaug,alstahaug,NO,EU,medium_airport,65.956802,12.4689
ALF,Alta Airport,Alta,alta,NO,EU,medium_airport,69.976097,23.3717
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,alta floresta,BR,SA,medium_airport,-9.866389,-56.106298
LTI,Altai Airport,Altai,altai,MN,AS,medium_airport,46.376399993896484,96.22109985351562
ATM,Altamira Interstate Airport,Altamira,altamira,BR,SA,medium_airport,-3.253144,-52.253938
AAT,Altay Xuedu Airport,Altay,altay,CN,AS,medium_airport,47.749886,88.085808
AOO,Altoona Blair County Airport,Altoona,altoona,US,NA,medium_airport,40.296398,-78.32
TKN,Tokunoshima Airport,Amagi,amagi,JP,AS,medium_airport,27.836382,128.881356
ASJ,Amami Airport,Amami,amami,JP,AS,medium_airport,28.430599212646484,129.71299743652344
AMA,Rick Husband Amarillo International Airport,Amarillo,amarillo,US,NA,medium_airport,35.217857,-101.706444
AHA,Maa Mahamaya Airport,Ambikapur,ambikapur,IN,AS,medium_airport,22.98753,83.19612
ABL,Ambler Airport,Ambler,ambler,US,NA,medium_airport,67.105529,-157.855339
AMQ,Pattimura International Airport,Ambon,ambon,ID,AS,large_airport,-3.71026,128.089005
ASV,Amboseli Airport,Amboseli National Park,amboseli national park,KE,AF,medium_airport,-2.645050048828125,37.25310134887695
AMV,Amderma Airport,Amderma,amderma,RU,AS,medium_airport,69.76329803466797,61.556400299072266
ADJ,Marka International (Amman Civil) Airport,Amman,amman,JO,AS,large_airport,31.9727,35.9916
ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,amritsar,IN,AS,large_airport,31.7096,74.797302
AMS,Amsterdam Airport Schiphol,Amsterdam,amsterdam,NL,EU,large_airport,52.308601,4.76389
AAA,Anaa Airport,Anaa,anaa,PF,OC,medium_airport,-17.3526,-145.509995
DYR,Ugolny Yuri Ryktheu Airport,Anadyr,anadyr,RU,AS,medium_airport,64.734902,177.740997
YAA,Anahim Lake Airport,Anahim Lake,anahim lake,CA,NA,medium_airport,52.451501,-125.303776
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,anaktuvuk pass,US,NA,medium_airport,68.133598,-151.742996
ANC,Ted Stevens Anchorage International Airport,Anchorage,anchorage,US,NA,large_airport,61.179004,-149.992561
ANX,"Andøya Airport, Andenes",Andenes,andenes,NO,EU,medium_airport,69.295193,16.139379
AZN,Andijan International Airport,Andijan,andijan,UZ,AS,large_airport,40.727699,72.293999
TZN,Congo Town Airport,Andros,andros,BS,NA,medium_airport,24.158701,-77.589798
SAQ,San Andros Airport,Andros Island,andros island,BS,NA,medium_airport,25.053800582885742,-78.04900360107422
ASD,Andros Town Airport,Andros Town,andros town,BS,NA,medium_airport,24.697901,-77.795601
AGH,Ängelholm-Helsingborg Airport,Ängelholm,angelholm,SE,EU,medium_airport,56.29610061645508,12.847100257873535
ANI,Aniak Airport,Aniak,aniak,US,NA,medium_airport,61.581600189208984,-159.54299926757812
ESB,Esenboğa International Airport,Ankara,ankara,TR,AS,large_airport,40.128101,32.995098
AAE,Annaba Rabah Bitat Airport,Annaba,annaba,DZ,AF,large_airport,36.826781,7.81334
NCY,Annecy Meythet airport,Annecy,annecy,FR,EU,medium_airport,45.928947,6.0987
AQG,Anqing Tianzhushan Airport / Anqing North Air Base,Anqing,anqing,CN,AS,medium_airport,30.582199,117.050003
AOG,Anshan Teng'ao Airport / Anshan Air Base,Anshan,anshan,CN,AS,medium_airport,41.105301,122.853996
AVA,Anshun Huangguoshu Airport,Anshun (Xixiu),anshun (xixiu),CN,AS,medium_airport,26.260556,105.873333
HTY,Hatay Airport,Antakya,antakya,TR,AS,medium_airport,36.362778,36.282223
AYT,Antalya International Airport,Antalya,antalya,TR,AS,large_airport,36.898701,30.800501
TNR,Ivato International Airport,Antananarivo,antananarivo,MG,AF,large_airport,-18.7969,47.478802
DIE,Arrachart Airport,Antisiranana,antisiranana,MG,AF,medium_airport,-12.3494,49.291698
ANF,Andrés Sabella Gálvez International Airport,Antofagasta,antofagasta,CL,SA,large_airport,-23.445274,-70.445232
ANR,Antwerp International Airport (Deurne),Antwerp,antwerp,BE,EU,medium_airport,51.190667,4.463153
ANV,Anvik Airport,Anvik,anvik,US,NA,medium_airport,62.646702,-160.190994
AOJ,Aomori Airport,Aomori,aomori,JP,AS,large_airport,40.733777,140.689477
PWE,Pevek Airport,Apapelgino,apapelgino,RU,AS,medium_airport,69.783302,170.597
APW,Faleolo International Airport,Apia,apia,WS,OC,large_airport,-13.83,-172.007996
ATW,Appleton International Airport,Appleton,appleton,US,NA,medium_airport,44.258515,-88.519
AQJ,King Hussein International Airport,Aqaba,aqaba,JO,AS,large_airport,29.611601,35.018101
AJU,Aracaju - Santa Maria Airport,Aracaju,aracaju,BR,SA,medium_airport,-10.98394,-37.072873
ARU,Araçatuba Airport,Araçatuba,aracatuba,BR,SA,medium_airport,-21.141479,-50.424575
ARW,Arad International Airport,Arad,arad,RO,EU,medium_airport,46.176136,21.264322
AUX,Araguaína Airport,Araguaína,araguaina,BR,SA,medium_airport,-7.22787,-48.240501
RAE,Arar Domestic Airport,Arar,arar,SA,AS,medium_airport,30.906600952148438,41.13819885253906
AQA,Araraquara Airport,Araraquara,araraquara,BR,SA,medium_airport,-21.812,-48.132999
AAX,Romeu Zema Airport,Araxá,araxa,BR,SA,medium_airport,-19.5632,-46.9604
AMH,Arba Minch Airport,Arba Minch,arba minch,ET,AF,medium_airport,6.03939,37.5905
EBL,Erbil International Airport,Arbil,arbil,IQ,AS,large_airport,36.236047,43.946615
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,arcata/eureka,US,NA,medium_airport,40.978101,-124.109
ARH,Talagi Airport,Archangelsk,archangelsk,RU,EU,medium_airport,64.60030364990234,40.71670150756836
ARC,Arctic Village Airport,Arctic Village,arctic village,US,NA,medium_airport,68.1147,-145.578995
ADU,Ardabil Airport,Ardabil,ardabil,IR,AS,medium_airport,38.3256988525,48.4244003296
AQP,Rodríguez Ballón International Airport,Arequipa,arequipa,PE,SA,large_airport,-16.340786,-71.569485
ARI,Chacalluta International Airport,Arica,arica,CL,SA,medium_airport,-18.348499,-70.338699
AXM,El Eden Airport,Armenia,armenia,CO,SA,medium_airport,4.45278,-75.7664
ARM,Armidale Airport,Armidale,armidale,AU,OC,medium_airport,-30.528099060099997,151.617004395
MOL,"Molde Airport, Årø",Årø,arø,NO,EU,medium_airport,62.744701,7.2625
ATC,Arthur's Town Airport,Arthur's Town,arthur's town,BS,NA,medium_airport,24.6294,-75.673797
VVO,Vladivostok International Airport,Artyom,artyom,RU,AS,large_airport,43.396256,132.148155
RUA,Arua Airport,Arua,arua,UG,AF,medium_airport,3.049152,30.911714
JRO,Kilimanjaro International Airport,Arusha,arusha,TZ,AF,large_airport,-3.427049,37.07353
AVK,Arvaikheer Airport,Arvaikheer,arvaikheer,MN,AS,medium_airport,46.250301361083984,102.802001953125
AJR,Arvidsjaur Airport,Arvidsjaur,arvidsjaur,SE,EU,medium_airport,65.59030151367188,19.28190040588379
YIE,Arxan Yi'ershi Airport,Arxan,arxan,CN,AS,medium_airport,47.3106,119.9117
ABB,Asaba International Airport,Asaba,asaba,NG,AF,large_airport,6.204167,6.665278
AVL,Asheville Regional Airport,Asheville,asheville,US,NA,medium_airport,35.435488,-82.541853
ASB,Ashgabat International Airport,Ashgabat,ashgabat,TM,AS,large_airport,37.986801,58.361
ASM,Asmara International Airport,Asmara,asmara,ER,AF,large_airport,15.2919,38.910702
ASO,Asosa Airport,Asosa,asosa,ET,AF,medium_airport,10.018500328063965,34.586299896240234
ASE,Aspen-Pitkin County Airport (Sardy Field),Aspen,aspen,US,NA,medium_airport,39.223202,-106.869003
NQZ,Nursultan Nazarbayev International Airport,Astana,astana,KZ,AS,large_airport,51.027035,71.467094
ASF,Astrakhan Narimanovo Boris M. Kustodiev International Airport,Astrakhan,astrakhan,RU,AS,large_airport,46.282843,48.010511
ASU,Silvio Pettirossi International Airport,Asunción,asuncion,PY,SA,large_airport,-25.240156,-57.519227
ASW,Aswan International Airport,Aswan,aswan,EG,AF,large_airport,23.961075,32.820382
ATZ,Asyut International Airport,Asyut,asyut,EG,AF,large_airport,27.045962,31.01276
ATR,Atar International Airport,Atar,atar,MR,AF,large_airport,20.505823,-13.043744
ATH,Athens Eleftherios Venizelos International Airport,Athens,athens,GR,EU,large_airport,37.936401,23.9445
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,atlanta,US,NA,large_airport,33.6367,-84.428101
ACY,Atlantic City International Airport,Atlantic City,atlantic city,US,NA,medium_airport,39.456201,-74.577511
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,atqasuk,US,NA,medium_airport,70.46704,-157.436013
GUW,Atyrau International Airport,Atyrau,atyrau,KZ,AS,large_airport,47.121318,51.820343
AKL,Auckland International Airport,Auckland,auckland,NZ,OC,large_airport,-37.01199,174.786331
AUG,Augusta State Airport,Augusta,augusta,US,NA,medium_airport,44.320598602299995,-69.7973022461
IXU,Aurangabad Airport,Aurangabad,aurangabad,IN,AS,medium_airport,19.862875,75.396312
AUR,Aurillac airport,Aurillac,aurillac,FR,EU,medium_airport,44.891399,2.42194
AUS,Austin Bergstrom International Airport,Austin,austin,US,NA,large_airport,30.197535,-97.662015
RAR,Rarotonga International Airport,Avarua,avarua,CK,OC,large_airport,-21.2027,-159.806
AVN,Avignon Caumont airport,Avignon,avignon,FR,EU,medium_airport,43.907299,4.90183
KAT,Kaitaia Airport,Awanui,awanui,NZ,OC,medium_airport,-35.069837,173.287053
AXU,Axum Airport,Axum,axum,ET,AF,medium_airport,14.1468,38.7728
AYP,Air Force Colonel Alfredo Mendivil Duarte Airport,Ayacucho,ayacucho,PE,SA,medium_airport,-13.1548,-74.204399
GDQ,Gondar Airport,Azezo,azezo,ET,AF,medium_airport,12.5199,37.433998
ROR,Roman Tmetuchl International Airport,Babelthuap Island,babelthuap island,PW,OC,large_airport,7.366965,134.544085
BCM,Bacău George Enescu International  Airport,Bacău,bacau,RO,EU,large_airport,46.5219,26.910299
BCD,Bacolod-Silay International Airport,Bacolod City,bacolod city,PH,AS,large_airport,10.776237,123.018879
BJZ,Badajoz Airport,Badajoz,badajoz,ES,EU,medium_airport,38.8913,-6.82133
BGW,Baghdad International Airport / New Al Muthana Air Base,Baghdad,baghdad,IQ,AS,large_airport,33.262501,44.2346
BAG,Loakan Airport,Baguio,baguio,PH,AS,medium_airport,16.375034,120.619949
BHV,Bahawalpur Airport,Bahawalpur,bahawalpur,PK,AS,medium_airport,29.348100662231445,71.71800231933594
BHI,Comandante Espora Airport,Bahía Blanca,bahia blanca,AR,SA,medium_airport,-38.725,-62.1693
BSC,José Celestino Mutis Airport,Bahía Solano,bahia solano,CO,SA,medium_airport,6.20292,-77.3947
BJR,Bahir Dar Airport,Bahir Dar,bahir dar,ET,AF,medium_airport,11.6081,37.321602
DBC,Baicheng Chang'an Airport,Baicheng,baicheng,CN,AS,medium_airport,45.505278,123.019722
YBC,Baie-Comeau Airport,Baie-Comeau,baie-comeau,CA,NA,medium_airport,49.1325,-68.204399
BXY,Baikonur Krayniy International Airport,Baikonur,baikonur,KZ,AS,large_airport,45.621994,63.210773
VMU,Baimuru Airport,Baimuru,baimuru,PG,OC,medium_airport,-7.496955,144.821756
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),baise (tianyang),CN,AS,medium_airport,23.7206,106.959999
NBS,Changbaishan Airport,Baishan,baishan,CN,AS,medium_airport,42.066944,127.602222
YBK,Baker Lake Airport,Baker Lake,baker lake,CA,NA,medium_airport,64.29889678960001,-96.077796936
BFL,Meadows Field,Bakersfield,bakersfield,US,NA,medium_airport,35.433601,-119.056999
GYD,Heydar Aliyev International Airport,Baku,baku,AZ,AS,large_airport,40.47278,50.050931
BWO,Balakovo Airport,Balakovo,balakovo,RU,AS,medium_airport,51.858299,47.745602
BSL,EuroAirport Basel–Mulhouse–Freiburg,Bâle / Mulhouse,bale / mulhouse,FR,EU,large_airport,47.60068,7.521117
TRE,Tiree Airport,"Balemartine, Argyll and Bute","balemartine, argyll and bute",GB,EU,medium_airport,56.499199,-6.86917
BPN,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,Balikpapan,balikpapan,ID,AS,large_airport,-1.268342,116.89452
OPU,Balimo Airport,Balimo,balimo,PG,OC,medium_airport,-8.05000019073,142.932998657
BEB,Benbecula Airport,Balivanich,balivanich,GB,EU,medium_airport,57.481098,-7.36278
BZI,Balıkesir Airport,Balıkesir,balıkesir,TR,AS,medium_airport,39.619301,27.926001
BKN,Balkanabat International Airport,Balkanabat,balkanabat,TM,AS,large_airport,39.681052,54.206008
BXH,Balkhash Airport,Balkhash,balkhash,KZ,AS,medium_airport,46.894246,75.004533
BNK,Ballina Byron Gateway Airport,Ballina,ballina,AU,OC,medium_airport,-28.833236,153.561471
BBA,Balmaceda Airport,Balmaceda,balmaceda,CL,SA,medium_airport,-45.915968,-71.689499
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,baltimore,US,NA,large_airport,39.1754,-76.668297
BXR,Bam Airport,Bam,bam,IR,AS,medium_airport,29.0842,58.450001
BKO,Modibo Keita International Airport,Bamako,bamako,ML,AF,large_airport,12.5335,-7.94994
BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,banda aceh,ID,AS,large_airport,5.525087,95.41997
BND,Bandar Abbas International Airport,Bandar Abbas,bandar abbas,IR,AS,large_airport,27.2183,56.3778
TKG,Radin Inten II International Airport,Bandar Lampung,bandar lampung,ID,AS,medium_airport,-5.246803,105.182531
BDH,Bandar Lengeh International Airport,Bandar Lengeh,bandar lengeh,IR,AS,medium_airport,26.532283,54.82484
BWN,Brunei International Airport,Bandar Seri Begawan,bandar seri begawan,BN,AS,large_airport,4.9442,114.928001
FDU,Bandundu Airport,Bandundu,bandundu,CD,AF,medium_airport,-3.31132,17.381701
BDO,Husein Sastranegara International Airport,Bandung,bandung,ID,AS,medium_airport,-6.90063,107.575996
BPX,Qamdo Bangda Airport,Bangda,bangda,CN,AS,medium_airport,30.553600311279297,97.1082992553711
BKK,Suvarnabhumi Airport,Bangkok,bangkok,TH,AS,large_airport,13.6811,100.747002
BGR,Bangor International Airport,Bangor,bangor,US,NA,medium_airport,44.806364,-68.826668
BGF,Bangui M'Poko International Airport,Bangui,bangui,CF,AF,large_airport,4.39848,18.518801
BDJ,Syamsudin Noor International Airport,Banjarbaru,banjarbaru,ID,AS,large_airport,-3.440112,114.761209
BSD,Baoshan Yunrui Airport,Baoshan (Longyang),baoshan (longyang),CN,AS,medium_airport,25.053301,99.168297
TCZ,Tengchong Tuofeng Airport,Baoshan (Tengchong),baoshan (tengchong),CN,AS,medium_airport,24.938056,98.485833
BAV,Baotou Donghe International Airport,Baotou,baotou,CN,AS,large_airport,40.560001,109.997002
BCA,Gustavo Rizo Airport,Baracoa,baracoa,CU,NA,medium_airport,20.365299224853516,-74.5062026977539
BRX,Maria Montez International Airport,Barahona,barahona,DO,NA,medium_airport,18.25149917602539,-71.12039947509766
BCI,Barcaldine Airport,Barcaldine,barcaldine,AU,OC,medium_airport,-23.566268,145.302086
BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,barcelona,ES,EU,large_airport,41.2971,2.07846
BRI,Bari Karol Wojtyła International Airport,Bari,bari,IT,EU,large_airport,41.138901,16.760599
BNS,Barinas Airport,Barinas,barinas,VE,SA,medium_airport,8.615,-70.214167
BBN,Bario Airport,Bario,bario,MY,AS,medium_airport,3.734648,115.478548
BZL,Barisal Airport,Barisal,barisal,BD,AS,medium_airport,22.801001,90.301201
BAX,Barnaul Gherman Titov International Airport,Barnaul,barnaul,RU,AS,large_airport,53.361285,83.539701
BRM,Jacinto Lara International Airport,Barquisimeto,barquisimeto,VE,SA,large_airport,10.042747,-69.35862
EJA,Yariguíes Airport,Barrancabermeja,barrancabermeja,CO,SA,medium_airport,7.02433,-73.8068
BAQ,Ernesto Cortissoz International Airport,Barranquilla,barranquilla,CO,SA,large_airport,10.8896,-74.7808
YLK,Barrie-Lake Simcoe Regional Airport,Barrie,barrie,CA,NA,medium_airport,44.485056,-79.554663
BSO,Basco Airport,Basco,basco,PH,AS,medium_airport,20.4513,121.980003
BSR,Basra International Airport,Basra,basra,IQ,AS,large_airport,30.549101,47.662102
SKB,Robert L. Bradshaw International Airport,Basseterre,basseterre,KN,NA,large_airport,17.310845,-62.719117
BIA,Bastia-Poretta International airport,Bastia,bastia,FR,EU,large_airport,42.5527,9.48373
BSG,Bata International Airport,Bata,bata,GQ,AF,large_airport,1.90547,9.80568
BTH,Hang Nadim International Airport,Batam,batam,ID,AS,large_airport,1.12103,104.119003
BHS,Bathurst Airport,Bathurst,bathurst,AU,OC,medium_airport,-33.406817,149.651161
BAL,Batman Airport,Batman,batman,TR,AS,medium_airport,37.929001,41.1166
BLJ,Batna Mostefa Ben Boulaid Airport,Batna,batna,DZ,AF,large_airport,35.752102,6.30859
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,baton rouge,US,NA,medium_airport,30.533199,-91.149597
BJF,Båtsfjord Airport,Båtsfjord,batsfjord,NO,EU,medium_airport,70.60025,29.692612
BBM,Battambang Airport,Battambang,battambang,KH,AS,medium_airport,13.0956,103.223999
BTC,Batticaloa International Airport,Batticaloa,batticaloa,LK,AS,medium_airport,7.705073,81.677163
BUS,Alexander Kartveli Batumi International Airport,Batumi,batumi,GE,AS,large_airport,41.60939,41.600315
BCH,Baucau Airport,Baucau,baucau,TL,AS,medium_airport,-8.486479,126.399981
BCU,Sir Abubakar Tafawa Balewa Bauchi State International Airport,Bauchi,bauchi,NG,AF,large_airport,10.482833,9.744
JTC,Bauru/Arealva–Moussa Nakhal Tobias State Airport,Bauru,bauru,BR,SA,medium_airport,-22.160755,-49.070325
BYM,Carlos Manuel de Cespedes Airport,Bayamo,bayamo,CU,NA,medium_airport,20.3964,-76.621399
AXF,Alxa Left Banner Bayanhot Airport,Bayanhot,bayanhot,CN,AS,medium_airport,38.748317,105.58416
BYN,Bayankhongor Airport,Bayankhongor,bayankhongor,MN,AS,medium_airport,46.1633,100.704002
RLK,Bayannur Tianjitai Airport,Bayannur,bayannur,CN,AS,medium_airport,40.926358,107.74093
BZX,Bazhong Enyang Airport,Bazhong,bazhong,CN,AS,medium_airport,31.73842,106.644872
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,beaumont/port arthur,US,NA,medium_airport,29.9508,-94.020699
BVA,Beauvais-Tillé airport,Beauvais,beauvais,FR,EU,large_airport,49.454399,2.11278
BKW,Raleigh County Memorial Airport,Beaver,beaver,US,NA,medium_airport,37.7873,-81.124199
CBH,Béchar Boudghene Ben Ali Lotfi Airport,Béchar,bechar,DZ,AF,medium_airport,31.645700454711914,-2.269860029220581
BED,Laurence G Hanscom Field,Bedford,bedford,US,NA,medium_airport,42.470001,-71.289001
BEU,Bedourie Airport,Bedourie,bedourie,AU,OC,medium_airport,-24.3461,139.460007
EIS,Terrance B. Lettsome International Airport,Beef Island,beef island,VG,NA,large_airport,18.445492,-64.541707
BHY,Beihai Fucheng Airport,Beihai,beihai,CN,AS,medium_airport,21.538659,109.293683
PEK,Beijing Capital International Airport,Beijing,beijing,CN,AS,large_airport,40.077349,116.596702
BEW,Beira International Airport,Beira,beira,MZ,AF,large_airport,-19.7964,34.9076
BEY,Beirut Rafic Hariri International Airport,Beirut,beirut,LB,AS,large_airport,33.819833,35.487443
BJA,Soummam–Abane Ramdane Airport,Béjaïa,bejaia,DZ,AF,large_airport,36.712547,5.069909
BEL,Val de Cans/Júlio Cezar Ribeiro International Airport,Belém,belem,BR,SA,large_airport,-1.379279,-48.476207
BFS,Belfast International Airport,Belfast,belfast,GB,EU,large_airport,54.6575012207,-6.2158298492399995
IXG,Belagavi Airport,Belgaum,belgaum,IN,AS,medium_airport,15.8593,74.618301
EGO,Belgorod International Airport,Belgorod,belgorod,RU,EU,medium_airport,50.643798828125,36.5900993347168
